PlayerID,PlayerName,FantasyTeam,Status,InjuryStatus,Positions,ProTeam,ProjectedPoints,2024_TotalPoints,2024_AvgPoints,PercentOwned,PercentStarted,PercentChange
4596448,Bucky Irving,,ONTEAM,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",TB,255.91971863,221.4,13.023529411764704,99.51672797337537,94.64739884393065,0.07911496873848023
4239993,Tee Higgins,,ONTEAM,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",CIN,217.34208014,186.1,15.508333333333335,99.50744783711447,92.40169976038003,0.0903701535065835
4426502,Drake London,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",ATL,218.76467371,232.8,13.694117647058825,99.46103305792361,94.37403990492322,0.10806111548970421
4379399,James Cook,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",BUF,250.18090701,250.7,15.668750000000001,99.09861148333236,87.96770695939898,0.1623784500358738
4430737,Kyren Williams,,ONTEAM,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",LAR,261.43409577,255.6,15.975,99.07339288842178,89.67805219828341,0.06601151759576851
3116406,Tyreek Hill,Free Agent,FREEAGENT,QUESTIONABLE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",MIA,216.15367304,178.7,10.511764705882353,99.05851071283438,87.69512912853999,0.08938926544264802
4430027,Sam LaPorta,,ONTEAM,ACTIVE,"WR/TE, TE, Flex, OP, Bench, IR",DET,154.14107435,145.6,9.100000000000001,99.04043553506492,92.94304972638925,-0.026519837393678358
4612826,Ladd McConkey,,ONTEAM,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",LAC,205.32259508,200.9,12.55625,98.91873239633983,88.02162885528915,0.2709805193890702
16800,Davante Adams,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",LAR,214.38856615,199.8,14.271428571428572,98.75760404825253,85.16131179356574,0.17988875827010986
4689936,Jake Bates,Free Agent,FREEAGENT,ACTIVE,"K, Bench, IR",DET,145.57074812,158.0,9.294117647058824,98.61558165342872,95.03251744327929,0.09907832095677804
4362238,Chase Brown,,ONTEAM,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",CIN,248.80169004,228.0,14.25,98.57977883926523,90.65891045144745,0.5523734127320807
